title,genres_associated,languages_availables,runtime,overview,adult,release_date,tagline,vote_average,keywords,cast
Balto,"['Family', 'Animation', 'Adventure']",['English'],78.0,"An outcast half-wolf risks his life to prevent a deadly epidemic from ravaging Nome, Alaska.",False,1995-12-22,Part Dog. Part Wolf. All Hero.,7.1,"['outcast', 'risks', 'life']","['Kevin Bacon', 'Bob Hoskins', 'Bridget Fonda', 'Jim Cummings', 'Phil Collins', 'Juliette Brewer', 'Jack Angel', 'Danny Mann', 'Robbie Rist', 'Sandra Dickinson', 'Frank Welker', 'Miriam Margolyes', 'Lola Bates-Campbell']"
Nixon,"['History', 'Drama']",['English'],192.0,"An all-star cast powers this epic look at American President Richard M. Nixon, a man carrying the fate of the world on his shoulders while battling the self-destructive demands within. Spanning his troubled boyhood in California to the shocking Watergate scandal that would end his presidency.",False,1995-12-22,"Triumphant in Victory, Bitter in Defeat. He Changed the World, But Lost a Nation.",7.1,"['cast', 'powers', 'epic']","['Anthony Hopkins', 'Joan Allen', 'Powers Boothe', 'Ed Harris', 'Bob Hoskins', 'E.G. Marshall', 'David Paymer', 'David Hyde Pierce', 'Paul Sorvino', 'Mary Steenburgen', 'J.T. Walsh', 'James Woods', 'Brian Bedford', 'Kevin Dunn', 'Fyvush Finkel', 'Annabeth Gish', 'Larry Hagman', 'Madeline Kahn', 'Dan Hedaya', 'Bridgette Wilson', 'Tom Bower', 'Tony Goldwyn', 'Edward Herrmann', 'Tony Lo Bianco', 'Saul Rubinek', 'Robert Beltran', 'John Cunningham', 'John Diehl', 'John C. McGinley', 'Michael Chiklis', 'Ric Young', 'Boris Sichkin', 'Sam Waterston', 'Marley Shelton']"
Cutthroat Island,"['Action', 'Adventure']","['English', 'Latin']",119.0,"Morgan Adams and her slave, William Shaw, are on a quest to recover the three portions of a treasure map. Unfortunately, the final portion is held by her murderous uncle, Dawg. Her crew is skeptical of her leadership abilities, so she must complete her quest before they mutiny against her. This is made yet more difficult by the efforts of the British crown to end her pirate raids.",False,1995-12-22,The Course Has Been Set. There Is No Turning Back. Prepare Your Weapons. Summon Your Courage. Discover the Adventure of a Lifetime!,5.7,"['quest', 'morgan', 'adams']","['Geena Davis', 'Matthew Modine', 'Frank Langella', 'Maury Chaykin', 'Patrick Malahide', 'Stan Shaw', 'Rex Linn', 'Paul Dillon', 'Christopher Masterson', 'Jimmie F. Skaggs', 'Harris Yulin', 'Carl Chase', 'Peter Geeves', 'Angus Wright', 'Ken Bones', 'Mary Peach', 'Thomas Lockyer', 'Roger Booth', 'George Murcell', 'Simon Atherton', 'Dickey Beer', 'Christopher Halliday', 'Chris Johnston', 'Richard Leaf', 'Tam White', 'Rupert Vansittart', 'Nick Bartlett', 'David Bailie', 'Kwame Kwei-Armah', 'Ramon Tikaram', 'Christopher Adamson']"
Casino,"['Drama', 'Crime']",['English'],178.0,The life of the gambling paradise – Las Vegas – and its dark mafia underbelly.,False,1995-11-22,No one stays at the top forever.,7.8,"['life', 'gambling', 'paradise']","['Robert De Niro', 'Sharon Stone', 'Joe Pesci', 'James Woods', 'Don Rickles', 'Alan King', 'Kevin Pollak', 'Pasquale Cajano', 'L.Q. Jones', 'Dick Smothers', 'Frank Vincent', 'Oscar Goodman', 'Richard Riehle', 'Catherine Scorsese', 'Vinny Vella', 'Nobu Matsuhisa', 'Erika von Tagen', 'Nick Mazzola', 'David Rose', 'John Bloom', 'Joseph Rigano', 'Philip Suriano', 'Melissa Prophet', 'Bill Allison', 'Joe La Due', 'Joseph P. Reidy', 'Craig Vincent', 'Carl Ciarfalio', 'Gene Ruffini', 'Dominick Grieco', 'Clem Caserta', 'Daniel P. Conte', 'Joey DePinto', 'Jack Orend', 'Paul Herman', 'Jed Mills', 'Claudia Haro', 'Ffolliott Le Coque', 'John Manca', 'Ronald Maccone', 'Joseph Bono', 'Frank Adonis', 'Anthony Russell', 'Stuart Nisbet', 'Alfred Nittoli']"
Sense and Sensibility,"['Drama', 'Romance']",['English'],136.0,"Rich Mr. Dashwood dies, leaving his second wife and her daughters poor by the rules of inheritance. Two daughters are the titular opposites.",False,1995-12-13,Lose your heart and come to your senses.,7.2,"['daughters', 'rich', 'dashwood']","['Kate Winslet', 'Emma Thompson', 'Hugh Grant', 'Tom Wilkinson', 'Alan Rickman', 'Imogen Stubbs', 'Greg Wise', 'Hugh Laurie', 'Imelda Staunton', 'Robert Hardy', 'Oliver Ford Davies', 'James Fleet', 'Harriet Walter', 'Gemma Jones', 'Emilie François', 'Elizabeth Spriggs', 'Richard Lumsden']"
Four Rooms,"['Crime', 'Comedy']",['English'],98.0,It's Ted the Bellhop's first night on the job...and the hotel's very unusual guests are about to place him in some outrageous predicaments. It seems that this evening's room service is serving up one unbelievable happening after another.,False,1995-12-09,"Twelve outrageous guests. Four scandalous requests. And one lone bellhop, in his first day on the job, who's in for the wildest New year's Eve of his life.",6.5,"['ted', 'bellhop', 'first']","['Tim Roth', 'Antonio Banderas', 'Jennifer Beals', 'Madonna', 'Marisa Tomei', 'Bruce Willis', 'Quentin Tarantino', 'Sammi Davis', 'Amanda de Cadenet', 'Valeria Golino', 'Lili Taylor', 'Lawrence Bender', 'Ione Skye', 'Alicia Witt', 'David Proval', 'Lana McKissack', 'Tamlyn Tomita', 'Kathy Griffin', 'Paul Calderon', 'Salma Hayek', 'Patricia Vonne', 'Danny Verduzco', 'Kimberly Blair', 'Marc Lawrence']"
Ace Ventura: When Nature Calls,"['Crime', 'Comedy', 'Adventure']",['English'],90.0,"Summoned from an ashram in Tibet, Ace finds himself on a perilous journey into the jungles of Africa to find Shikaka, the missing sacred animal of the friendly Wachati tribe. He must accomplish this before the wedding of the Wachati's Princess to the prince of the warrior Wachootoos. If Ace fails, the result will be a vicious tribal war.",False,1995-11-10,New animals. New adventures. Same hair.,6.1,"['ace', 'wachati', 'summoned']","['Jim Carrey', 'Ian McNeice', 'Simon Callow', 'Maynard Eziashi', 'Bob Gunton', 'Sophie Okonedo', 'Tommy Davidson', 'Adewale Akinnuoye-Agbaje', 'Danny D. Daniels', 'Sam Motoana Phillips', 'Damon Standifer', 'Andrew Steel', 'Bruce Spence', 'Tom Grunke', ""Arsenio 'Sonny' Trinidad""]"
Money Train,"['Action', 'Comedy', 'Crime']",['English'],103.0,"A vengeful New York transit cop decides to steal a trainload of subway fares; his foster brother, a fellow cop, tries to protect him.",False,1995-11-21,"Get on, or GET OUT THE WAY!",5.4,"['cop', 'vengeful', 'new']","['Wesley Snipes', 'Woody Harrelson', 'Jennifer Lopez', 'Robert Blake', 'Chris Cooper', 'Joe Grifasi', 'Scott Sowers', 'Skipp Sudduth', 'Aida Turturro', 'Vincent Pastore', 'Enrico Colantoni', 'Bill Nunn', 'Katie Gill', 'Jeremy Roberts', 'Joe Bacino']"
Get Shorty,"['Comedy', 'Thriller', 'Crime']",['English'],105.0,"Chili Palmer is a Miami mobster who gets sent by his boss, the psychopathic ""Bones"" Barboni, to collect a bad debt from Harry Zimm, a Hollywood producer who specializes in cheesy horror films. When Chili meets Harry's leading lady, the romantic sparks fly. After pitching his own life story as a movie idea, Chili learns that being a mobster and being a Hollywood producer really aren't all that different.",False,1995-10-20,"The mob is tough, but it’s nothing like show business.",6.4,"['chili', 'mobster', 'harry']","['John Travolta', 'Gene Hackman', 'Rene Russo', 'Danny DeVito', 'Dennis Farina', 'Delroy Lindo', 'James Gandolfini', 'Jon Gries', 'Renee Props', 'David Paymer', 'Martin Ferrero', 'Miguel Sandoval', 'Jacob Vargas', 'Bobby Slayton', 'Linda Hart', 'Jeffrey J. Stephen']"
Copycat,"['Drama', 'Thriller']","['English', 'Deutsch']",124.0,An agoraphobic psychologist and a female detective must work together to take down a serial killer who copies serial killers from the past.,False,1995-10-27,"One man is copying the most notorious killers in history one at a time. Together, two women must stop him from killing again. Or they're next.",6.5,"['serial', 'agoraphobic', 'psychologist']","['Sigourney Weaver', 'Holly Hunter', 'Will Patton', 'William McNamara', 'Harry Connick Jr.', 'J.E. Freeman', 'Dermot Mulroney', 'John Rothman', ""Shannon O'Hurley"", 'Bob Greene', 'Tony Haney', 'Danny Kovacs', 'Tahmus Rounds', 'Scott Devenney', 'David Michael Silverman']"
Assassins,"['Action', 'Adventure', 'Crime', 'Thriller']","['English', 'Dutch', 'Spanish']",132.0,"Assassin Robert Rath arrives at a funeral to kill a prominent mobster, only to witness a rival hired gun complete the job for him -- with grisly results. Horrified by the murder of innocent bystanders, Rath decides to take one last job and then return to civilian life. But finding his way out of the world of contract killing grows ever more dangerous as Rath falls for his female target and becomes a marked man himself.",False,1995-10-06,"In the shadows of life, In the business of death, One man found a reason to live...",6.0,"['rath', 'job', 'assassin']","['Sylvester Stallone', 'Antonio Banderas', 'Julianne Moore', 'Anatoli Davydov', 'Muse Watson', 'Steve Kahan', 'Kelly Rowan', 'Reed Diamond', 'Kai Wulff', 'Kerry Skalsky', 'James Douglas Haskins', 'Stephen Liska', 'John Harms', 'Edward J. Rosen', 'Christina Orchid', 'Choco Orta', 'Germán Legarreta']"
Powder,"['Drama', 'Fantasy', 'Science Fiction', 'Thriller']",['English'],111.0,"Harassed by classmates who won't accept his shocking appearance, a shy young man known as ""Powder"" struggles to fit in. But the cruel taunts stop when Powder displays a mysterious power that allows him to do incredible things. This phenomenon changes the lives of all those around him in ways they never could have imagined.",False,1995-10-27,An extraordinary encounter with another human being.,6.3,"['powder', 'harassed', 'classmates']","['Mary Steenburgen', 'Sean Patrick Flanery', 'Lance Henriksen', 'Jeff Goldblum', 'Brandon Smith']"
Leaving Las Vegas,"['Drama', 'Romance']",['English'],112.0,"Ben Sanderson, an alcoholic Hollywood screenwriter who lost everything because of his drinking, arrives in Las Vegas to drink himself to death. There, he meets and forms an uneasy friendship and non-interference pact with prostitute Sera.",False,1995-10-27,I Love You... The Way You Are.,7.1,"['ben', 'sanderson', 'alcoholic']","['Nicolas Cage', 'Elisabeth Shue', 'Julian Sands', 'Richard Lewis', 'Steven Weber', 'Kim Adams', 'Emily Procter', 'Stuart Reynolds ', 'Valeria Golino', 'Graham Beckel', 'Mariska Hargitay', 'Laurie Metcalf', 'Shawnee Smith', 'David Kriegel']"
Othello,['Drama'],['English'],123.0,The evil Iago pretends to be friend of Othello in order to manipulate him to serve his own end in the film version of this Shakespeare classic.,False,1995-12-15,"Envy, greed, jealousy and love.",7.0,"['evil', 'iago', 'pretends']","['Laurence Fishburne', 'Irène Jacob', 'Kenneth Branagh', 'Nathaniel Parker', 'Indra Ové', 'Michael Maloney', 'Anna Patrick', 'Nicholas Farrell', 'Michael Sheen']"
Now and Then,"['Comedy', 'Drama', 'Family']",['English'],100.0,"Waxing nostalgic about the bittersweet passage from childhood to puberty in this tender coming-of-age tale, four childhood girlfriends -- Teeny, Chrissy, Samantha and Roberta -- recall the magical summer of 1970. During their walk down memory lane, they reconcile experiences with boys, secrets, bullies and more.",False,1995-10-20,In every woman there is the girl she left behind.,6.6,"['childhood', 'waxing', 'nostalgic']","['Christina Ricci', ""Rosie O'Donnell"", 'Thora Birch', 'Melanie Griffith', 'Gaby Hoffmann', 'Demi Moore', 'Ashleigh Aston Moore', 'Rita Wilson', 'Walter Sparrow', 'Devon Sawa', 'Cloris Leachman', 'Janeane Garofalo', 'Hank Azaria', 'Bonnie Hunt', 'Lolita Davidovich', 'Brendan Fraser']"
The City of Lost Children,"['Fantasy', 'Science Fiction', 'Adventure']","['Cantonese / Cantonese', 'French']",108.0,"A scientist in a surrealist society kidnaps children to steal their dreams, hoping that they slow his aging process.",False,1995-05-16,Where happily ever after is just a dream.,7.6,"['scientist', 'surrealist', 'society']","['Ron Perlman', 'Dominique Pinon', 'Judith Vittet', 'Daniel Emilfork', 'Jean-Claude Dreyfus', 'Geneviève Brunet', 'Odile Mallet', 'Mireille Mossé', 'Serge Merlin', 'Rufus', 'Ticky Holgado', 'Cris Huerta', 'Jean-Louis Trintignant', 'Joseph Lucien', 'Mapi Galán', 'Briac Barthélémy', 'Pierre-Quentin Faesch', 'Alexis Pivot', 'François Hadji-Lazaro', 'Dominique Bettenfeld', 'Lotfi Yahya Jedidi', 'Thierry Gibault', 'Marc Caro', 'Ham-Chau Luong', 'Frankie Pain', 'Enrique Villanueva', 'Dominique Chevalier', 'Lorella Cravotta', 'Éric Houzelot', 'Philippe Beautier', 'Marc Amyot', 'Jean-Philippe Labadie', 'Raphaèle Bouchard', 'Elisabeth Etienne', 'Rachel Boulenger', 'Michel Motu', 'Nane Germon']"
Shanghai Triad,"['Drama', 'Crime']",['mandarin'],108.0,A provincial boy related to a Shanghai crime family is recruited by his uncle into cosmopolitan Shanghai in the 1930s to be a servant to a ganglord's mistress.,False,1995-04-30,In 1930's Shanghai violence was not the problem. It was the solution.,6.5,"['shanghai', 'provincial', 'boy']","['Gong Li', 'Li Bao-Tian', 'Wang Xiaoxiao', 'Li Xuejian', 'Chun Sung', 'Fu Biao']"
Dangerous Minds,"['Drama', 'Crime']",['English'],99.0,"Former Marine Louanne Johnson lands a gig teaching in a pilot program for bright but underachieving teens at a notorious inner-city high school. After having a terrible first day, she decides she must throw decorum to the wind. When Johnson returns to the classroom, she does so armed with a no-nonsense attitude informed by her military training and a fearless determination to better the lives of her students -- no matter what the cost.",False,1995-08-11,She broke the rules... and changed their lives.,6.4,"['johnson', 'former', 'marine']","['Michelle Pfeiffer', 'George Dzundza', 'Courtney B. Vance', 'Robin Bartlett', 'John Neville', 'Beatrice Winde', 'Lorraine Toussaint', 'Renoly Santiago', 'Wade Dominguez', 'Bruklin Harris', 'Mercello Thedford', 'Roberto Alvarez', 'Richard Grant', 'Marisela Gonzales', 'Toni Nichelle Buzhardt']"
Twelve Monkeys,"['Science Fiction', 'Thriller', 'Mystery']","['English', 'French']",129.0,"In the year 2035, convict James Cole reluctantly volunteers to be sent back in time to discover the origin of a deadly virus that wiped out nearly all of the earth's population and forced the survivors into underground communities. But when Cole is mistakenly sent to 1990 instead of 1996, he's arrested and locked up in a mental hospital. There he meets psychiatrist Dr. Kathryn Railly, and patient Jeffrey Goines, the son of a famous virus expert, who may hold the key to the mysterious rogue group, the Army of the 12 Monkeys, thought to be responsible for unleashing the killer disease.",False,1995-12-29,The future is history.,7.4,"['cole', 'sent', 'virus']","['Bruce Willis', 'Madeleine Stowe', 'Brad Pitt', 'Christopher Plummer', 'David Morse', 'Jon Seda', 'Frank Gorshin', 'Joseph Melito', 'Aaron Michael Lacey', 'Christopher Meloni', 'Joey Perillo', 'LisaGay Hamilton', 'Matt Ross', 'Annie Golden', 'Michael Chance', 'Vernon Campbell', 'H. Michael Walls', 'Bob Adrian', 'Simon Jones', 'Carol Florence', 'Bill Raymond', 'Ernest Abuba', 'Irma St. Paule', 'Rozwill Young', 'Nell Johnson', 'Frederick Strother', 'Charles Techman', 'Rick Warner', ""Anthony 'Chip' Brienza"", 'Bruce Kirkpatrick', 'Wilfred Williams', 'Joilet Harris', 'Drucie McDaniel', 'John Blaisse', 'Louis Lippa', 'Stan Kang', 'Pat Dias', 'Felix Pire', 'Karl Warren', 'Joseph McKenna', 'Stephen Bridgewater', 'Ray Huffman', 'Charley Scalies', ""Robert O'Neill"", 'Paul Meshejian', 'Kevin Thigpen', ""Harry O'Toole"", 'Jann Ellis', 'Michael Ryan Segal', 'Korchenko', 'Chuck Jeffreys', 'Barry Price', 'John Panzarella', 'Janet Zappala', 'Lisa Talerico', 'Tiffany Baldwin', 'C.J. Byrnes', 'Tom Detrik', 'Joe Gerety', 'Renee Spei', 'Bonnie Loev', 'Raymond Mamrak', 'Sal Mazzotta', 'Allelon Ruggiero', 'Thang']"
Babe,"['Fantasy', 'Drama', 'Comedy', 'Family']",['English'],89.0,"Babe is a little pig who doesn't quite know his place in the world. With a bunch of odd friends, like Ferdinand the duck who thinks he is a rooster and Fly the dog he calls mom, Babe realizes that he has the makings to become the greatest sheep pig of all time, and Farmer Hogget knows it. With the help of the sheep dogs Babe learns that a pig can be anything that he wants to be.",False,1995-07-18,A little pig goes a long way.,6.0,"['babe', 'pig', 'sheep']","['Christine Cavanaugh', 'Miriam Margolyes', 'Danny Mann', 'Hugo Weaving', 'Miriam Flynn', 'James Cromwell', 'Russi Taylor', 'Evelyn Krape', 'Michael Edward-Stevens', 'Charles Bartlett', 'Paul Livingston', 'Roscoe Lee Browne', 'Magda Szubanski', 'Zoe Burton', 'Paul Goddard', 'Wade Hayward', 'Brittany Byrnes', 'Mary Acres']"
Carrington,"['History', 'Drama', 'Romance']",['English'],121.0,"The story of the relationship between painter Dora Carrington and author Lytton Strachey in a World War One England of cottages and countryside. Although platonic due to Strachey's homosexuality, the relationship was nevertheless a deep and complicated one. When Carrington did develop a more physical relationship with soldier Ralph Partridge, Strachey was able to welcome him as a friend, although Partridge remained somewhat uneasy, not so much with Strachey's lifestyle and sexual orientation as with the fact that he was a conscientious objector.",False,1995-11-08,A Love so Unusual it has to be True,6.4,"['strachey', 'relationship', 'carrington']","['Emma Thompson', 'Jonathan Pryce', 'Steven Waddington', 'Samuel West', 'Rufus Sewell', 'Penelope Wilton', 'Janet McTeer', 'Jeremy Northam', 'Alex Kingston', 'Richard Clifford', 'David Ryall', 'Stephen Boxer']"
It Takes Two,"['Comedy', 'Family', 'Romance']",['English'],101.0,"Identical 9-year-olds from very different backgrounds: orphaned Amanda and wealthy Alyssa meet at summer camp and decide to switch places -- and play matchmaker between Alyssa's dad, Roger, and the kind social worker who cares for Amanda.",False,1995-11-17,Two identical strangers. Two different worlds. One perfect match.,6.1,"['amanda', 'alyssa', 'identical']","['Kirstie Alley', 'Steve Guttenberg', 'Ashley Olsen', 'Mary-Kate Olsen', 'Jane Sibbett', 'Philip Bosco', 'Michelle Grisom', 'Desmond Robertson', 'Tiny Mills', 'Shanelle Henry', 'Michèle Lonsdale Smith', 'Sean Orr', 'Elizabeth Walsh']"
Clueless,"['Comedy', 'Drama', 'Romance']","['English', 'Spanish']",97.0,"Shallow, rich and socially successful Cher is at the top of her Beverly Hills high school's pecking scale. Seeing herself as a matchmaker, Cher first coaxes two teachers into dating each other. Emboldened by her success, she decides to give hopelessly klutzy new student Tai a makeover. When Tai becomes more popular than she is, Cher realizes that her disapproving ex-stepbrother was right about how misguided she was -- and falls for him.",False,1995-07-19,Sex. Clothes. Popularity. Is there a problem here?,6.9,"['cher', 'tai', 'shallow']","['Alicia Silverstone', 'Stacey Dash', 'Brittany Murphy', 'Paul Rudd', 'Donald Faison', 'Elisa Donovan', 'Breckin Meyer', 'Jeremy Sisto', 'Dan Hedaya', 'Wallace Shawn', 'Twink Caplan', 'Justin Walker', 'Julie Brown', 'Nicole Bilderback']"
